sezon,mecz,data,wynik,status,runda,druzyna_domowa,druzyna_goscinna,bramki_domowe,bramki_goscinne
LIQUI MOLY HBL 2020/21,THW Kiel vs Füchse Berlin,2021-02-28 12:30,32:26,Final,Round: 7,THW Kiel,Füchse Berlin,32,26
LIQUI MOLY HBL 2020/21,SC Magdeburg vs TuSEM Essen,2021-02-25 18:00,34:28,Final,Round: 9,SC Magdeburg,TuSEM Essen,34,28
LIQUI MOLY HBL 2020/21,TSV Hannover-Burgdorf vs MT Melsungen,2021-02-25 18:00,31:23,Final,Round: 9,TSV Hannover-Burgdorf,MT Melsungen,31,23
LIQUI MOLY HBL 2020/21,HSG Wetzlar vs HC Erlangen,2021-02-25 18:00,28:28,Final,Round: 17,HSG Wetzlar,HC Erlangen,28,28
LIQUI MOLY HBL 2020/21,HSC 2000 Coburg vs GWD Minden,2021-02-25 18:00,24:28,Final,Round: 8,HSC 2000 Coburg,GWD Minden,24,28
LIQUI MOLY HBL 2020/21,TSV Hannover-Burgdorf vs HSG Nordhorn-Lingen,2021-02-21 15:00,31:22,Final,Round: 17,TSV Hannover-Burgdorf,HSG Nordhorn-Lingen,31,22
LIQUI MOLY HBL 2020/21,THW Kiel vs SC Magdeburg,2021-02-21 15:00,24:24,Final,Round: 19,THW Kiel,SC Magdeburg,24,24
LIQUI MOLY HBL 2020/21,SG Flensburg-Handewitt vs TBV Lemgo Lippe,2021-02-21 15:00,27:27,Final,Round: 19,SG Flensburg-Handewitt,TBV Lemgo Lippe,27,27
LIQUI MOLY HBL 2020/21,Bergischer HC vs HBW Balingen-Weilstetten,2021-02-21 15:00,30:22,Final,Round: 19,Bergischer HC,HBW Balingen-Weilstetten,30,22
LIQUI MOLY HBL 2020/21,Eulen Ludwigshafen vs TuSEM Essen,2021-02-21 15:00,25:26,Final,Round: 19,Eulen Ludwigshafen,TuSEM Essen,25,26
LIQUI MOLY HBL 2020/21,Füchse Berlin vs Rhein-Neckar Löwen,2021-02-21 12:30,23:29,Final,Round: 19,Füchse Berlin,Rhein-Neckar Löwen,23,29
LIQUI MOLY HBL 2020/21,MT Melsungen vs SC DHfK Leipzig,2021-02-18 18:00,31:28,Final,Round: 19,MT Melsungen,SC DHfK Leipzig,31,28
LIQUI MOLY HBL 2020/21,HSG Wetzlar vs TSV Hannover-Burgdorf,2021-02-18 18:00,26:24,Final,Round: 19,HSG Wetzlar,TSV Hannover-Burgdorf,26,24
